"#4C4F56","Abbey"
"#CC7722","Ochre"
"#E6F8F3","Off Green"
"#FEF9E3","Off Yellow"
"#281E15","Oil"
"#901E1E","Old Brick"
"#724A2F","Old Copper"
"#CFB53B","Old Gold"
"#796878","Old Lavender"
"#FDF5E6","Old Lace"
"#C08081","Old Rose"
"#6B8E23","Olive Drab"
"#8B8470","Olive Haze"
"#B5B35C","Olive Green"
"#808000","Olive"
"#716E10","Olivetone"
"#9AB973","Olivine"
"#CDF4FF","Onahau"
"#2F270E","Onion"
"#A9C6C2","Opal"
"#8E6F70","Opium"
"#377475","Oracle"
"#C45719","Orange Roughy"
"#FEFCED","Orange White"
"#FF681F","Orange"
"#FFA000","Orange Peel"
"#DA70D6","Orchid"
"#FFFDF3","Orchid White"
"#9B4703","Oregon"
"#015E85","Orient"
"#C69191","Oriental Pink"
"#F3FBD4","Orinoco"
"#878D91","Oslo Gray"
"#E9F8ED","Ottoman"
"#2D383A","Outer Space"
"#FF6037","Outrageous Orange"
"#384555","Oxford Blue"
"#779E86","Oxley"
"#DAFAFF","Oyster Bay"
"#E9CECD","Oyster Pink"
"#A65529","Paarl"
"#776F61","Pablo"
"#009DC4","Pacific Blue"
"#778120","Pacifika"
"#411F10","Paco"
"#ADE6C4","Padua"
"#FFFF99","Pale Canary"
"#C0D3B9","Pale Leaf"
"#988D77","Pale Oyster"
"#FDFEB8","Pale Prim"
"#FFE1F2","Pale Rose"
"#6E7783","Pale Sky"
"#C3BFC1","Pale Slate"
"#09230F","Palm Green"
"#19330E","Palm Leaf"
"#F4F2EE","Pampas"
"#EAF6EE","Panache"
"#EDCDAB","Pancho"
"#FFEFD5","Papaya Whip"
"#8D0226","Paprika"
"#317D82","Paradiso"
"#F1E9D2","Parchment"
"#26056A","Paris M"
"#CADCD4","Paris White"
"#FFF46E","Paris Daisy"
"#134F19","Parsley"
"#77DD77","Pastel Green"
"#FFD1DC","Pastel Pink"
"#639A8F","Patina"
"#DEF5FF","Pattens Blue"
"#260368","Paua"
"#D7C498","Pavlova"
"#FADFAD","Peach Yellow"
"#FFCC99","Peach Orange"
"#FFDCD6","Peach Schnapps"
"#FFF0DB","Peach Cream"
"#FFE5B4","Peach"
"#782F16","Peanut"
"#D1E231","Pear"
"#E8E0D5","Pearl Bush"
"#FCF4DC","Pearl Lusta"
"#716B56","Peat"
"#3EABBF","Pelorous"
"#E3F5E1","Peppermint"
"#A9BEF2","Perano"
"#D0BEF8","Perfume"
"#E1E6D6","Periglacial Blue"
"#C3CDE6","Periwinkle Gray"
"#CCCCFF","Periwinkle"
"#00A693","Persian Green"
"#1C39BB","Persian Blue"
"#32127A","Persian Indigo"
"#701C1C","Persian Plum"
"#CC3333","Persian Red"
"#F77FBE","Persian Pink"
"#FE28A2","Persian Rose"
"#FF6B53","Persimmon"
"#7F3A02","Peru Tan"
"#7C7631","Pesto"
"#DB9690","Petite Orchid"
"#96A8A1","Pewter"
"#A3807B","Pharlap"
"#FFF39D","Picasso"
"#314459","Pickled Bluewood"
"#6E4826","Pickled Bean"
"#45B1E8","Picton Blue"
"#FDD7E4","Pig Pink"
"#AFBDD9","Pigeon Post"
"#4B0082","Pigment Indigo"
"#6D5E54","Pine Cone"
"#01796F","Pine Green"
"#C7CD90","Pine Glade"
"#171F04","Pine Tree"
"#E1C0C8","Pink Flare"
"#FF66FF","Pink Flamingo"
"#FFDDF4","Pink Lace"
"#FFF1D8","Pink Lady"
"#BEB5B7","Pink Swan"
"#FF91A4","Pink Salmon"
"#FFC0CB","Pink"
"#C96323","Piper"
"#FEF4CC","Pipi"
"#FFE1DF","Pippin"
"#BA7F03","Pirate Gold"
"#9DC209","Pistachio"
"#C0D8B6","Pixie Green"
"#FF9000","Pizazz"
"#C99415","Pizza"
"#27504B","Plantation"
"#843179","Plum"
"#8F021C","Pohutukawa"
"#E5F9F6","Polar"
"#8DA8CC","Polo Blue"
"#F34723","Pomegranate"
"#660045","Pompadour"
"#EFF2F3","Porcelain"
"#EAAE69","Porsche"
"#251F4F","Port Gore"
"#FFFFB4","Portafino"
"#8B9FEE","Portage"
"#F9E663","Portica"
"#F5E7E2","Pot Pourri"
"#8C5738","Potters Clay"
"#B0E0E6","Powder Blue"
"#BCC9C2","Powder Ash"
"#9A3820","Prairie Sand"
"#D0C0E5","Prelude"
"#F0E2EC","Prim"
"#EDEA99","Primrose"
"#FEF5F1","Provincial Pink"
"#003153","Prussian Blue"
"#CC8899","Puce"
"#7D2C14","Pueblo"
"#3FC1AA","Puerto Rico"
"#C2CAC4","Pumice"
"#B1610B","Pumpkin Skin"
"#FF7518","Pumpkin"
"#DC4333","Punch"
"#4D3D14","Punga"
"#652DC1","Purple Heart"
"#660099","Purple"
"#9678B6","Purple Mountain's Majesty"
"#FF00CC","Purple Pizzazz"
"#E7CD8C","Putty"
"#F7F2E1","Quarter Spanish White"
"#FFFDF4","Quarter Pearl Lusta"
"#BD978E","Quicksand"
"#D6D6D1","Quill Gray"
"#623F2D","Quincy"
"#0C1911","Racing Green"
"#FF355E","Radical Red"
"#EADAB8","Raffia"
"#B9C8AC","Rainee"
"#F7B668","Rajah"
"#2E3222","Rangitoto"
"#1C1E13","Rangoon Green"
"#727B89","Raven"
"#D27D46","Raw Sienna"
"#734A12","Raw Umber"
"#FF33CC","Razzle Dazzle Rose"
"#E30B5C","Razzmatazz"
"#3C1206","Rebel"
"#7B3801","Red Beech"
"#8E0000","Red Berry"
"#DA6A41","Red Damask"
"#860111","Red Devil"
"#FF3F34","Red Orange"
"#6E0902","Red Oxide"
"#ED0A3F","Red Ribbon"
"#80341F","Red Robin"
"#D05F04","Red Stage"
"#BB3385","Red Violet"
"#C71585","Red Violet"
"#FF0000","Red"
"#5D1E0F","Redwood"
"#9F821C","Reef Gold"
"#C9FFA2","Reef"
"#013F6A","Regal Blue"
"#86949F","Regent Gray"
"#AAD6E6","Regent St Blue"
"#FEEBF3","Remy"
"#A86515","Reno Sand"
"#002387","Resolution Blue"
"#2C1632","Revolver"
"#2E3F62","Rhino"
"#FFFEF0","Rice Cake"
"#EEFFE2","Rice Flower"
"#A85307","Rich Gold"
"#BBD009","Rio Grande"
"#F4D81C","Ripe Lemon"
"#410056","Ripe Plum"
"#8BE6D8","Riptide"
"#434C59","River Bed"
"#EAC674","Rob Roy"
"#00CCCC","Robin's Egg Blue"
"#9EB1CD","Rock Blue"
"#BA450C","Rock Spray"
"#4D3833","Rock"
"#C9B29B","Rodeo Dust"
"#747D83","Rolling Stone"
"#795D4C","Roman Coffee"
"#DE6360","Roman"
"#FFFEFD","Romance"
"#FFD2B7","Romantic"
"#ECC54E","Ronchi"
"#A62F20","Roof Terracotta"
"#8E4D1E","Rope"
"#800B47","Rose Bud Cherry"
"#FBB2A3","Rose Bud"
"#E7BCB4","Rose Fog"
"#FFF6F5","Rose White"
"#BF5500","Rose of Sharon"
"#FF007F","Rose"
"#65000B","Rosewood"
"#C6A84B","Roti"
"#A23B6C","Rouge"
"#4169E1","Royal Blue"
"#6B3FA0","Royal Purple"
"#AB3472","Royal Heath"
"#F9F8E4","Rum Swizzle"
"#796989","Rum"
"#755A57","Russett"
"#80461B","Russet"
"#B7410E","Rust"
"#480404","Rustic Red"
"#86560A","Rusty Nail"
"#4C3024","Saddle"
"#583401","Saddle Brown"
"#F4C430","Saffron"
"#F9BF58","Saffron Mango"
"#9EA587","Sage"
"#B7A214","Sahara"
"#F1E788","Sahara Sand"
"#B8E0F9","Sail"
"#097F4B","Salem"
"#FF8C69","Salmon"
"#FEDB8D","Salomie"
"#685E6E","Salt Box"
"#F1F7F2","Saltpan"
"#3A2010","Sambuca"
"#0B6207","San Felix"
"#304B6A","San Juan"
"#456CAC","San Marino"
"#826F65","Sand Dune"
"#AA8D6F","Sandal"
"#AB917A","Sandrift"
"#796D62","Sandstone"
"#F5E7A2","Sandwisp"
"#F4A460","Sandy brown"
"#FFEAC8","Sandy Beach"
"#92000A","Sangria"
"#8D3D38","Sanguine Brown"
"#B16D52","Santa Fe"
"#9FA0B1","Santas Gray"
"#DED4A4","Sapling"
"#2F519E","Sapphire"
"#555B10","Saratoga"
"#E6E4D4","Satin Linen"
"#FFF5F3","Sauvignon"
"#FFF4E0","Sazerac"
"#675FA6","Scampi"
"#CFFAF4","Scandal"
"#431560","Scarlet Gum"
"#950015","Scarlett"
"#FF2400","Scarlet"
"#585562","Scarpa Flow"
"#A9B497","Schist"
"#FFD800","School bus Yellow"
"#8B847E","Schooner"
"#0066CC","Science Blue"
"#2EBFD4","Scooter"
"#695F62","Scorpion"
"#FFFBDC","Scotch Mist"
"#66FF66","Screamin' Green"
"#FBA129","Sea Buckthorn"
"#2E8B57","Sea Green"
"#C5DBCA","Sea Mist"
"#78A39C","Sea Nymph"
"#ED989E","Sea Pink"
"#80CCEA","Seagull"
"#731E8F","Seance"
"#F1F1F1","Seashell"
"#FFF5EE","Seashell Peach"
"#1B2F11","Seaweed"
"#F0EEFD","Selago"
"#FFBA00","Selective Yellow"
"#2B0202","Sepia Black"
"#9E5B40","Sepia Skin"
"#704214","Sepia"
"#FFF4E8","Serenade"
"#837050","Shadow"
"#9AC2B8","Shadow Green"
"#AAA5A9","Shady Lady"
"#4EABD1","Shakespeare"
"#FBFFBA","Shalimar"
"#33CC99","Shamrock"
"#25272C","Shark"
"#004950","Sherpa Blue"
"#02402C","Sherwood Green"
"#E8B9B3","Shilo"
"#6B4E31","Shingle Fawn"
"#788BBA","Ship Cove"
"#3E3A44","Ship Gray"
"#B20931","Shiraz"
"#E292C0","Shocking"
"#FC0FC0","Shocking Pink"
"#5F6672","Shuttle Gray"
"#646A54","Siam"
"#F3E7BB","Sidecar"
"#BDB1A8","Silk"
"#66B58F","Silver Tree"
"#ACACAC","Silver Chalice"
"#BFC1C2","Silver Sand"
"#C0C0C0","Silver"
"#C9C0BB","Silver Rust"
"#9FD7D3","Sinbad"
"#7A013A","Siren"
"#718080","Sirocco"
"#D3CBBA","Sisal"
"#CAE6DA","Skeptic"
"#76D7EA","Sky Blue"
"#708090","Slate Gray"
"#51808F","Smalt Blue"
"#003399","Smalt"
"#605B73","Smoky"
"#F7FAF7","Snow Drift"
"#E4FFD1","Snow Flurry"
"#D6FFDB","Snowy Mint"
"#E2D8ED","Snuff"
"#FFFBF9","Soapstone"
"#D1C6B4","Soft Amber"
"#F5EDEF","Soft Peach"
"#893843","Solid Pink"
"#FEF8E2","Solitaire"
"#EAF6FF","Solitude"
"#FD7C07","Sorbus"
"#CEB98F","Sorrell Brown"
"#6A6051","Soya Bean"
"#819885","Spanish Green"
"#2F5A57","Spectra"
"#6A442E","Spice"
"#74640D","Spicy Mustard"
"#816E71","Spicy Pink"
"#885342","Spicy Mix"
"#B6D1EA","Spindle"
"#79DEEC","Spray"
"#00FF7F","Spring Green"
"#578363","Spring Leaves"
"#ACCBB1","Spring Rain"
"#F6FFDC","Spring Sun"
"#F8F6F1","Spring Wood"
"#C1D7B0","Sprout"
"#AAABB7","Spun Pearl"
"#8F8176","Squirrel"
"#2D569B","St Tropaz"
"#8A8F8A","Stack"
"#9F9F9C","Star Dust"
"#E5D7BD","Stark White"
"#ECF245","Starship"
"#262335","Steel Gray"
"#4682B4","Steel Blue"
"#9C3336","Stiletto"
"#928573","Stonewall"
"#646463","Storm Dust"
"#717486","Storm Gray"
"#000741","Stratos"
"#D4BF8D","Straw"
"#956387","Strikemaster"
"#325D52","Stromboli"
"#714AB2","Studio"
"#BAC7C9","Submarine"
"#F9FFF6","Sugar Cane"
"#C1F07C","Sulu"
"#96BBAB","Summer Green"
"#FBAC13","Sun"
"#C9B35B","Sundance"
"#FFB1B3","Sundown"
"#E4D422","Sunflower"
"#E16865","Sunglo"
"#FFCC33","Sunglow"
"#FE4C40","Sunset Orange"
"#FF9E2C","Sunshade"
"#FFC901","Supernova"
"#CFE5D2","Surf Crest"
"#BBD7C1","Surf"
"#0C7A79","Surfie Green"
"#87AB39","Sushi"
"#888387","Suva Gray"
"#ACB78E","Swamp Green"
"#001B1C","Swamp"
"#DCF0EA","Swans Down"
"#FBEA8C","Sweet Corn"
"#FD9FA2","Sweet Pink"
"#D3CDC5","Swirl"
"#DDD6D5","Swiss Coffee"
"#908D39","Sycamore"
"#A02712","Tabasco"
"#EDB381","Tacao"
"#D6C562","Tacha"
"#E97C07","Tahiti Gold"
"#EEF0C8","Tahuna Sands"
"#B32D29","Tall Poppy"
"#A8A589","Tallow"
"#341515","Tamarind"
"#991613","Tamarillo"
"#FA9D5A","Tan Hide"
"#D2B48C","Tan"
"#D9DCC1","Tana"
"#03163C","Tangaroa"
"#F28500","Tangerine"
"#ED7A1C","Tango"
"#7B7874","Tapa"
"#B05E81","Tapestry"
"#E1F6E8","Tara"
"#073A50","Tarawera"
"#CFDCCF","Tasman"
"#B3AF95","Taupe Gray"
"#483C32","Taupe"
"#692545","Tawny Port"
"#1E433C","Te Papa Green"
"#D0F0C0","Tea Green"
"#C1BAB0","Tea"
"#B19461","Teak"
"#044259","Teal Blue"
"#008080","Teal"
"#3B000B","Temptress"
"#CD5700","Tenn"
"#FFE6C7","Tequila"
"#E2725B","Terracotta"
"#FFB555","Texas Rose"
"#F8F99C","Texas"
"#403D19","Thatch Green"
"#B69D98","Thatch"
"#CCCAA8","Thistle Green"
"#D8BFD8","Thistle"
"#33292F","Thunder"
"#C02B18","Thunderbird"
"#C1440E","Tia Maria"
"#C3D1D1","Tiara"
"#063537","Tiber"
"#FC80A5","Tickle Me Pink"
"#F1FFAD","Tidal"
"#BFB8B0","Tide"
"#16322C","Timber Green"
"#D9D6CF","Timberwolf"
"#F0EEFF","Titan White"
"#9A6E61","Toast"
"#715D47","Tobacco Brown"
"#3A0020","Toledo"
"#1B0245","Tolopea"
"#3F583B","Tom Thumb"
"#E79F8C","Tonys Pink"
"#7C778A","Topaz"
"#FD0E35","Torch Red"
"#0F2D9E","Torea Bay"
"#1450AA","Tory Blue"
"#8D3F3F","Tosca"
"#991B07","Totem Pole"
"#A9BDBF","Tower Gray"
"#5FB3AC","Tradewind"
"#E6FFFF","Tranquil"
"#FFFDE8","Travertine"
"#FC9C1D","Tree Poppy"
"#3B2820","Treehouse"
"#7C881A","Trendy Green"
"#8C6495","Trendy Pink"
"#E64E03","Trinidad"
"#00755E","Tropical Rain Forest"
"#C3DDF9","Tropical Blue"
"#4A4E5A","Trout"
"#8A73D6","True V"
"#363534","Tuatara"
"#FFDDCD","Tuft Bush"
"#EAB33B","Tulip Tree"
"#DEA681","Tumbleweed"
"#353542","Tuna"
"#4A4244","Tundora"
"#FAE600","Turbo"
"#B57281","Turkish Rose"
"#CABB48","Turmeric"
"#30D5C8","Turquoise"
"#6CDAE7","Turquoise Blue"
"#2A380B","Turtle Green"
"#BD5E2E","Tuscany"
"#EEF3C3","Tusk"
"#C5994B","Tussock"
"#FFF1F9","Tutu"
"#E4CFDE","Twilight"
"#EEFDFF","Twilight Blue"
"#C2955D","Twine"
"#66023C","Tyrian Purple"
"#120A8F","Ultramarine"
"#F9E6F4","Underage Pink"
"#D84437","Valencia"
"#350E42","Valentino"
"#2B194F","Valhalla"
"#49170C","Van Cleef"
"#D1BEA8","Vanilla"
"#F3D9DF","Vanilla Ice"
"#FFF6DF","Varden"
"#72010F","Venetian Red"
"#055989","Venice Blue"
"#928590","Venus"
"#5D5E37","Verdigris"
"#495400","Verdun Green"
"#FF4D00","Vermilion"
"#B14A0B","Vesuvius"
"#534491","Victoria"
"#549019","Vida Loca"
"#64CCDB","Viking"
"#983D61","Vin Rouge"
"#CB8FA9","Viola"
"#290C5E","Violent Violet"
"#240A40","Violet"
"#991199","Violet Eggplant"
"#F7468A","Violet Red"
"#40826D","Viridian"
"#678975","Viridian Green"
"#FFEFA1","Vis Vis"
"#8FD6B4","Vista Blue"
"#FCF8F7","Vista White"
"#803790","Vivid Violet"
"#FF9980","Vivid Tangerine"
"#533455","Voodoo"
"#10121D","Vulcan"
"#DECBC6","Wafer"
"#5A6E9C","Waikawa Gray"
"#363C0D","Waiouru"
"#773F1A","Walnut"
"#788A25","Wasabi"
"#A1E9DE","Water Leaf"
"#056F57","Watercourse"
"#7B7C94","Waterloo "
"#DCD747","Wattle"
"#FFDDCF","Watusi"
"#FFC0A8","Wax Flower"
"#F7DBE6","We Peep"
"#FFA500","Web Orange"
"#4E7F9E","Wedgewood"
"#B43332","Well Read"
"#625119","West Coast"
"#FF910F","West Side"
"#DCD9D2","Westar"
"#F19BAB","Wewak"
"#F5DEB3","Wheat"
"#F3EDCF","Wheatfield"
"#D59A6F","Whiskey"
"#F7F5FA","Whisper"
"#DDF9F1","White Ice"
"#EAE8D4","White Rock"
"#F8F0E8","White Linen"
"#F8F7FC","White Lilac"
"#FEF8FF","White Pointer"
"#FFFFFF","White"
"#7A89B8","Wild Blue Yonder"
"#ECE090","Wild Rice"
"#F4F4F4","Wild Sand"
"#FF3399","Wild Strawberry"
"#B9C46A","Wild Willow"
"#FD5B78","Wild Watermelon"
"#3A686C","William"
"#65745D","Willow Grove"
"#DFECDA","Willow Brook"
"#3C0878","Windsor"
"#591D35","Wine Berry"
"#D5D195","Winter Hazel"
"#FEF4F8","Wisp Pink"
"#9771B5","Wisteria"
"#A4A6D3","Wistful"
"#FFFC99","Witch Haze"
"#261105","Wood Bark"
"#4D5328","Woodland"
"#302A0F","Woodrush"
"#0C0D0F","Woodsmoke"
"#483131","Woody Brown"
"#738678","Xanadu"
"#716338","Yellow Metal"
"#C5E17A","Yellow Green"
"#FEA904","Yellow Sea"
"#FFAE42","Yellow Orange"
"#FFFF00","Yellow"
"#FFC3C0","Your Pink"
"#7B6608","Yukon Gold"
"#CEC291","Yuma"
"#685558","Zambezi"
"#DAECD6","Zanah"
"#E5841B","Zest"
"#292319","Zeus"
"#BFDBE2","Ziggurat"
"#EBC2AF","Zinnwaldite"
"#F4F8FF","Zircon"
"#E4D69B","Zombie"
"#A59B91","Zorba"
"#044022","Zuccini"
"#EDF6FF","Zumthor"
