"#4C4F56","Abbey"
"#3FC1AA","Puerto Rico"
"#C2CAC4","Pumice"
"#B1610B","Pumpkin"
"#DC4333","Punch"
"#4D3D14","Punga"
"#E7CD8C","Putty"
"#FFFDF4","Quarter Pearl Lusta"
"#F7F2E1","Quarter Spanish White"
"#BD978E","Quicksand"
"#D6D6D1","Quill Gray"
"#623F2D","Quincy"
"#0C1911","Racing Green"
"#EADAB8","Raffia"
"#778120","Rain Forest"
"#7B7C94","Raincloud"
"#B9C8AC","Rainee"
"#F7B668","Rajah"
"#2E3222","Rangitoto"
"#1C1E13","Rangoon Green"
"#727B89","Raven"
"#3C1206","Rebel"
"#7B3801","Red Beech"
"#8E0000","Red Berry"
"#DA6A41","Red Damask"
"#860111","Red Devil"
"#6E0902","Red Oxide"
"#80341F","Red Robin"
"#D05F04","Red Stage"
"#5D1E0F","Redwood"
"#C9FFA2","Reef"
"#9F821C","Reef Gold"
"#013F6A","Regal Blue"
"#86949F","Regent Gray"
"#AAD6E6","Regent St Blue"
"#FEEBF3","Remy"
"#A86515","Reno Sand"
"#002387","Resolution Blue"
"#2C1632","Revolver"
"#2E3F62","Rhino"
"#660045","Ribbon"
"#FFFEF0","Rice Cake"
"#EEFFE2","Rice Flower"
"#A85307","Rich Gold"
"#5F3D26","Rimu, Dark"
"#BBD009","Rio Grande"
"#8BE6D8","Riptide"
"#434C59","River Bed"
"#EAC674","Rob Roy"
"#BDC8B3","Robins Egg Blue"
"#4D3833","Rock"
"#9EB1CD","Rock Blue"
"#FFFFFF","Rock Salt"
"#BA450C","Rock Spray"
"#C9B29B","Rodeo Dust"
"#747D83","Rolling Stone"
"#DE6360","Roman"
"#795D4C","Roman Coffee"
"#FFFEFD","Romance"
"#FFD2B7","Romantic"
"#ECC54E","Ronchi"
"#A62F20","Roof Terracotta"
"#8E4D1E","Rope"
"#E7BCB4","Rose"
"#FBB2A3","Rose Bud"
"#800B47","Rose Bud Cherry"
"#BF5500","Rose Of Sharon"
"#FFF6F5","Rose White"
"#FFE1F2","Rose, Pale"
"#65000B","Rosewood"
"#C6A84B","Roti"
"#A23B6C","Rouge"
"#AB3472","Royal Heath"
"#796989","Rum"
"#F9F8E4","Rum Swizzle"
"#412010","Rum, Dark"
"#755A57","Russett"
"#480404","Rustic Red"
"#86560A","Rusty Nail"
"#4C3024","Saddle"
"#583401","Saddle Brown"
"#F9BF58","Saffron"
"#9EA587","Sage"
"#B7A214","Sahara"
"#B8E0F9","Sail"
"#097F4B","Salem"
"#FEDB8D","Salomie"
"#685E6E","Salt Box"
"#F1F7F2","Saltpan"
"#3A2010","Sambuca"
"#0B6207","San Felix"
"#304B6A","San Juan"
"#456CAC","San Marino"
"#826F65","Sand Dune"
"#AA8D6F","Sandal"
"#AB917A","Sandrift"
"#796D62","Sandstone"
"#F5E7A2","Sandwisp"
"#FFEAC8","Sandy Beach"
"#92000A","Sangria"
"#8D3D38","Sanguine Brown"
"#B16D52","Santa Fe"
"#9FA0B1","Santas Gray"
"#DED4A4","Sapling"
"#2F519E","Sapphire"
"#555B10","Saratoga"
"#FFF5F3","Sauvignon"
"#FFF4E0","Sazerac"
"#675FA6","Scampi"
"#CFFAF4","Scandal"
"#431560","Scarlet Gum"
"#950015","Scarlett"
"#585562","Scarpa Flow"
"#A9B497","Schist"
"#8B847E","Schooner"
"#2EBFD4","Scooter"
"#695F62","Scorpion"
"#FFFBDC","Scotch Mist"
"#2E3222","Scrub"
"#FBA129","Sea Buckthorn"
"#FCFFF9","Sea Fog"
"#095859","Sea Green"
"#C5DBCA","Sea Mist"
"#78A39C","Sea Nymph"
"#ED989E","Sea Pink"
"#80CCEA","Seagull"
"#731E8F","Seance"
"#F1F1F1","Seashell"
"#1B2F11","Seaweed"
"#F0EEFD","Selago"
"#2B0202","Sepia"
"#FFF4E8","Serenade"
"#9AC2B8","Shadow Green"
"#AAA5A9","Shady Lady"
"#4EABD1","Shakespeare"
"#FBFFBA","Shalimar"
"#25272C","Shark"
"#004950","Sherpa Blue"
"#02402C","Sherwood Green"
"#E8B9B3","Shilo"
"#6B4E31","Shingle Fawn"
"#788BBA","Ship Cove"
"#3E3A44","Ship Gray"
"#B20931","Shiraz"
"#E292C0","Shocking"
"#5F6672","Shuttle Gray"
"#646A54","Siam"
"#F3E7BB","Sidecar"
"#BDB1A8","Silk"
"#ACACAC","Silver Chalice"
"#BFC1C2","Silver Sand"
"#66B58F","Silver Tree"
"#9FD7D3","Sinbad"
"#7A013A","Siren"
"#718080","Sirocco"
"#D3CBBA","Sisal"
"#CAE6DA","Skeptic"
"#6E7783","Sky, Pale"
"#394851","Slate, Dark"
"#C3BFC1","Slate, Pale"
"#412010","Slugger"
"#51808F","Smalt Blue"
"#DA6304","Smoke Tree"
"#413C37","Smokey Ash"
"#605B73","Smoky"
"#F7FAF7","Snow Drift"
"#E4FFD1","Snow Flurry"
"#D6FFDB","Snowy Mint"
"#E2D8ED","Snuff"
"#FFFBF9","Soapstone"
"#D1C6B4","Soft Amber"
"#F5EDEF","Soft Peach"
"#893843","Solid Pink"
"#FEF8E2","Solitaire"
"#EAF6FF","Solitude"
"#FD7C07","Sorbus"
"#CEB98F","Sorrell Brown"
"#D1BEA8","Sour Dough"
"#6A6051","Soya Bean"
"#433120","Space Shuttle"
"#819885","Spanish Green"
"#F4EBD3","Spanish White"
"#2F5A57","Spectra"
"#6A442E","Spice"
"#885342","Spicy Mix"
"#816E71","Spicy Pink"
"#B6D1EA","Spindle"
"#FFEFC1","Splash"
"#79DEEC","Spray"
"#578363","Spring Green"
"#ACCBB1","Spring Rain"
"#F6FFDC","Spring Sun"
"#F8F6F1","Spring Wood"
"#C1D7B0","Sprout"
"#AAABB7","Spun Pearl"
"#8F8176","Squirrel"
"#2D569B","St Tropaz"
"#8A8F8A","Stack"
"#9F9F9C","Star Dust"
"#E5D7BD","Stark White"
"#ECF245","Starship"
"#262335","Steel Gray"
"#9C3336","Stiletto"
"#8B6B0B","Stinger"
"#928573","Stonewall"
"#646463","Storm Dust"
"#717486","Storm Gray"
"#000741","Stratos"
"#D4BF8D","Straw"
"#956387","Strikemaster"
"#325D52","Stromboli"
"#714AB2","Studio"
"#BAC7C9","Submarine"
"#F9FFF6","Sugar Cane"
"#C1F07C","Sulu"
"#96BBAB","Summer Green"
"#FBAC13","Sun"
"#C9B35B","Sundance"
"#FFB1B3","Sundown"
"#E4D422","Sunflower"
"#E16865","Sunglo"
"#DC4333","Sunset"
"#FF9E2C","Sunshade"
"#FFC901","Supernova"
"#BBD7C1","Surf"
"#CFE5D2","Surf Crest"
"#0C7A79","Surfie Green"
"#87AB39","Sushi"
"#888387","Suva Gray"
"#001B1C","Swamp"
"#DCF0EA","Swans Down"
"#FBEA8C","Sweet Corn"
"#FD9FA2","Sweet Pink"
"#D3CDC5","Swirl"
"#DDD6D5","Swiss Coffee"
"#908D39","Sycamore"
"#A02712","Tabasco"
"#EDB381","Tacao"
"#D6C562","Tacha"
"#E97C07","Tahiti Gold"
"#EEF0C8","Tahuna Sands"
"#B32D29","Tall Poppy"
"#A8A589","Tallow"
"#991613","Tamarillo"
"#341515","Tamarind"
"#661010","Tan, Dark"
"#D9DCC1","Tana"
"#03163C","Tangaroa"
"#E96E00","Tangerine"
"#ED7A1C","Tango"
"#7B7874","Tapa"
"#B05E81","Tapestry"
"#E1F6E8","Tara"
"#073A50","Tarawera"
"#CFDCCF","Tasman"
"#B3AF95","Taupe Gray"
"#692545","Tawny Port"
"#51808F","Tax Break"
"#1E433C","Te Papa Green"
"#C1BAB0","Tea"
"#B19461","Teak"
"#6B2A14","Teak Wood Finish"
"#044259","Teal Blue"
"#003532","Teal, Deep"
"#3B000B","Temptress"
"#FFE6C7","Tequila"
"#F8F99C","Texas"
"#FFB555","Texas Rose"
"#B69D98","Thatch"
"#403D19","Thatch Green"
"#CCCAA8","Thistle"
"#33292F","Thunder"
"#C02B18","Thunderbird"
"#C1440E","Tia Maria"
"#C3D1D1","Tiara"
"#063537","Tiber"
"#F1FFAD","Tidal"
"#BFB8B0","Tide"
"#16322C","Timber Green"
"#F0EEFF","Titan White"
"#9A6E61","Toast"
"#715D47","Tobacco Brown"
"#3E2B23","Tobago"
"#3A0020","Toledo"
"#1B0245","Tolopea"
"#3F583B","Tom Thumb"
"#E79F8C","Tonys Pink"
"#7C778A","Topaz"
"#0F2D9E","Torea Bay"
"#1450AA","Tory Blue"
"#8D3F3F","Tosca"
"#991B07","Totem Pole"
"#373021","Touch Wood"
"#A9BDBF","Tower Gray"
"#5FB3AC","Tradewind"
"#E6FFFF","Tranquil"
"#FFFDE8","Travertine"
"#FC9C1D","Tree Poppy"
"#3B2820","Treehouse"
"#7C881A","Trendy Green"
"#8C6495","Trendy Pink"
"#E64E03","Trinidad"
"#C3DDF9","Tropical Blue"
"#4A4E5A","Trout"
"#8A73D6","True V"
"#363534","Tuatara"
"#FFDDCD","Tuft Bush"
"#EAB33B","Tulip Tree"
"#37290E","Tumbleweed"
"#353542","Tuna"
"#4A4244","Tundora"
"#FAE600","Turbo"
"#B57281","Turkish Rose"
"#CABB48","Turmeric"
"#2A380B","Turtle Green"
"#BD5E2E","Tuscany"
"#EEF3C3","Tusk"
"#C5994B","Tussock"
"#FFF1F9","Tutu"
"#E4CFDE","Twilight"
"#EEFDFF","Twilight Blue"
"#C2955D","Twine"
"#D84437","Valencia"
"#350E42","Valentino"
"#2B194F","Valhalla"
"#49170C","Van Cleef"
"#D1BEA8","Vanilla"
"#F3D9DF","Vanilla Ice"
"#FFF6DF","Varden"
"#72010F","Venetian Red"
"#055989","Venice Blue"
"#928590","Venus"
"#5D5E37","Verdigris"
"#495400","Verdun Green"
"#B14A0B","Vesuvius"
"#534491","Victoria"
"#549019","Vida Loca"
"#64CCDB","Viking"
"#983D61","Vin Rouge"
"#CB8FA9","Viola"
"#290C5E","Violent Violet"
"#240A40","Violet"
"#678975","Viridian Green"
"#FFEFA1","Vis Vis"
"#8FD6B4","Vista Blue"
"#FCF8F7","Vista White"
"#651A14","Volcano"
"#533455","Voodoo"
"#10121D","Vulcan"
"#DECBC6","Wafer"
"#5A6E9C","Waikawa Gray"
"#363C0D","Waiouru"
"#773F1A","Walnut"
"#FCFFF9","Wan White"
"#788A25","Wasabi"
"#A1E9DE","Water Leaf"
"#056F57","Watercourse"
"#7B7C94","Waterloo"
"#7B7C94","Waterloo"
"#DCD747","Wattle"
"#FFDDCF","Watusi"
"#FFC0A8","Wax Flower"
"#F7DBE6","We Peep"
"#4E7F9E","Wedgewood"
"#B43332","Well Read"
"#625119","West Coast"
"#FF910F","West Side"
"#DCD9D2","Westar"
"#8B0723","Western Red"
"#F19BAB","Wewak"
"#F3EDCF","Wheatfield"
"#D59A6F","Whiskey"
"#DB995E","Whiskey Sour"
"#F7F5FA","Whisper"
"#DDF9F1","White Ice"
"#F8F7FC","White Lilac"
"#F8F0E8","White Linen"
"#FCFFE7","White Nectar"
"#FEF8FF","White Pointer"
"#EAE8D4","White Rock"
"#ECE090","Wild Rice"
"#F4F4F4","Wild Sand"
"#B9C46A","Wild Willow"
"#3A686C","William"
"#DFECDA","Willow Brook"
"#65745D","Willow Grove"
"#3C0878","Windsor"
"#591D35","Wine Berry"
"#D5D195","Winter Hazel"
"#FEF4F8","Wisp Pink"
"#9771B5","Wisteria"
"#A4A6D3","Wistful"
"#FFFC99","Witch Haze"
"#261105","Wood Bark"
"#3C2005","Woodburn"
"#4D5328","Woodland"
"#302A0F","Woodrush"
"#0C0D0F","Woodsmoke"
"#292130","Woody Bay"
"#483131","Woody Brown"
"#738678","Xanadu"
"#716338","Yellow Metal"
"#FEA904","Yellow Sea"
"#FFC3C0","Your Pink"
"#7B6608","Yukon Gold"
"#CEC291","Yuma"
"#685558","Zambezi"
"#DAECD6","Zanah"
"#E5841B","Zest"
"#292319","Zeus"
"#BFDBE2","Ziggurat"
"#F4F8FF","Zircon"
"#E4D69B","Zombie"
"#A59B91","Zorba"
"#044022","Zuccini"
"#EDF6FF","Zumthor"
"#02402C","Zydeco"
